gene,log2fc,pval,padj,direction,cell_type,score
SPARCL1,-1.6707264,9.642394268984436e-309,1.5522326294211143e-304,down,MuSC,-37.56009
RPS4Y1,-2.3778415,1.150522616684265e-177,9.260556541691648e-174,down,MuSC,-28.419825
ZFAND5,-2.1971421,3.294888652023896e-156,1.768037250676023e-152,down,MuSC,-26.627121
S100A6,0.8592689,1.977299146831372e-135,7.957640416422856e-132,up,MuSC,24.768137
RPS4X,0.47411647,2.824176498424402e-130,9.092718654327206e-127,up,MuSC,24.284996
IGFBP5,-1.2128767,7.7789804742673766e-118,2.087100461245937e-114,down,MuSC,-23.077568
HSPH1,-1.8838674,1.519182708095809e-110,3.493686176418048e-107,down,MuSC,-22.339743
FN1,-1.8697355,1.9576863130007162e-109,3.9393542833356894e-106,down,MuSC,-22.225254
FKBP5,-1.8717194,4.4645021357576995e-109,7.985506153491939e-106,down,MuSC,-22.188206
B2M,0.6792604,2.9996636986543527e-106,4.828858622093777e-103,up,MuSC,21.893444
MYF5,1.4212679,5.852258559717375e-99,8.564514390393665e-96,up,MuSC,21.114502
HSP90AA1,-1.0639645,2.0489269343571126e-98,2.748635482440067e-95,down,MuSC,-21.055206
DNAJB1,-1.2381439,2.3481237901612084e-95,2.907699751847318e-92,down,MuSC,-20.718727
GPX3,1.2048038,1.4361605496454206e-85,1.6513794662994273e-82,up,MuSC,19.603758
TPD52L1,-1.444273,2.8476317312264977e-85,3.0560783739522776e-82,down,MuSC,-19.5689
ZBTB16,-1.5862257,8.454876331978409e-85,8.506662449511774e-82,down,MuSC,-19.513353
MT1X,-1.0534347,2.0447819304518908e-78,1.936288206847914e-75,down,MuSC,-18.74709
MT1E,-1.3204149,7.391646777060944e-76,6.610596100951507e-73,down,MuSC,-18.431135
GLUL,-1.1348822,1.0300970424875911e-75,8.727632731560654e-73,down,MuSC,-18.413172
MT1M,-1.5857002,9.129952932247994e-72,7.348699115166408e-69,down,MuSC,-17.914246
UBB,-0.9062652,2.7642646744779993e-68,2.119006320464135e-65,down,MuSC,-17.462526
CD63,0.6206392,2.9329698546803313e-68,2.146134032756545e-65,up,MuSC,17.459145
ADIRF,1.59428,2.2757882774154093e-66,1.592853899557968e-63,up,MuSC,17.208935
LPL,-2.2398684,1.2200682653849881e-65,8.183607890069808e-63,down,MuSC,-17.111412
FOXO1,-1.6019244,5.697524079277635e-62,3.6687497051284553e-59,down,MuSC,-16.612087
MT2A,-1.1030585,5.14035746728037e-61,3.143517443816607e-58,down,MuSC,-16.479624
ENPP5,-2.5064676,5.272392283702844e-61,3.143517443816607e-58,down,MuSC,-16.47809
TSC22D3,-1.1595685,4.2432147164502345e-58,2.4395453751934237e-55,down,MuSC,-16.068487
RPS27A,0.26194853,1.8421968663183908e-57,1.0226098328963262e-54,up,MuSC,15.977206
COPS9,-1.006136,1.4379917373249843e-55,7.716263662485865e-53,down,MuSC,-15.703201
MT-CO1,0.40284953,2.5244268229884168e-55,1.3109104192408885e-52,up,MuSC,15.667466
SPRY1,1.0644685,5.0447147034226236e-55,2.5378067904905442e-52,up,MuSC,15.623394
BZW1,-1.2768077,1.5918673880428128e-54,7.765418549307031e-52,down,MuSC,-15.549968
RASSF4,-1.2806176,9.272624608280322e-54,4.390315027767549e-51,down,MuSC,-15.436699
KLF2,-1.262719,2.4472248039850286e-53,1.1255835684157426e-50,down,MuSC,-15.373965
RPL8,0.30922386,4.238060761016604e-53,1.895119503634592e-50,up,MuSC,15.338354
ABLIM1,-1.3014169,1.2535231330363273e-52,5.45384199881589e-50,down,MuSC,-15.267789
ACTB,0.60962117,4.028499953383997e-52,1.7065997960414628e-49,up,MuSC,15.19146
USP53,-1.5727763,5.32063930265896e-51,2.196196192159076e-48,down,MuSC,-15.021358
HSP90AB1,-0.5154379,3.3538548799797944e-49,1.3497588964478682e-46,down,MuSC,-14.744177
ACTG1,0.5689596,1.151725928424702e-48,4.5220692672636236e-46,up,MuSC,14.6606455
C1R,1.5699215,2.9753633563564566e-48,1.1404142693006248e-45,up,MuSC,14.596064
RPS28,0.20678447,3.5579250149735325e-48,1.3319878346754401e-45,up,MuSC,14.583864
ATF3,-1.271262,1.0310328497838662e-47,3.772174276322882e-45,down,MuSC,-14.511067
RPL13,0.19088839,1.5813789197091882e-47,5.657119522106335e-45,up,MuSC,14.4817
S100A4,0.8701423,4.03699884176181e-47,1.4127740729278613e-44,up,MuSC,14.417145
