rank	candidate_id	receptor_A	receptor_B	linker	biased_pathways	chain_soundness	track_a	track_b	composite_reward	tier	verdict	notes
1	ERBB2_FGFR1__GS_med	ERBB2	FGFR1	GS_med	MAPK,AKT	0.900	+1.0000	0.900	+0.9625	TOP_K_DESIGN	REJUVENATING	Heuristic candidate from generate_candidates.py — class pair: (ErbB, FGFR); axis: myogenic; linker: GS_med (20 aa, flexible).
2	ERBB2_FGFR2__GS_med	ERBB2	FGFR2	GS_med	MAPK,AKT	0.900	+1.0000	0.900	+0.9625	TOP_K_DESIGN	REJUVENATING	Heuristic candidate from generate_candidates.py — class pair: (ErbB, FGFR); axis: myogenic; linker: GS_med (20 aa, flexible).
3	ERBB2_FGFR4__GS_med	ERBB2	FGFR4	GS_med	MAPK,AKT	0.900	+1.0000	0.900	+0.9625	TOP_K_DESIGN	REJUVENATING	Heuristic candidate from generate_candidates.py — class pair: (ErbB, FGFR); axis: myogenic; linker: GS_med (20 aa, flexible).
4	ERBB2_MET__GS_med	ERBB2	MET	GS_med	MAPK,AKT,STAT3	0.900	+1.0000	0.900	+0.9625	TOP_K_DESIGN	REJUVENATING	Heuristic candidate from generate_candidates.py — class pair: (ErbB, MET); axis: myogenic; linker: GS_med (20 aa, flexible).
5	EGFR_FGFR1__GS_med	EGFR	FGFR1	GS_med	MAPK,AKT	0.900	+1.0000	0.900	+0.9625	TOP_K_DESIGN	REJUVENATING	Heuristic candidate from generate_candidates.py — class pair: (ErbB, FGFR); axis: myogenic; linker: GS_med (20 aa, flexible).
6	EGFR_FGFR2__GS_med	EGFR	FGFR2	GS_med	MAPK,AKT	0.900	+1.0000	0.900	+0.9625	TOP_K_DESIGN	REJUVENATING	Heuristic candidate from generate_candidates.py — class pair: (ErbB, FGFR); axis: myogenic; linker: GS_med (20 aa, flexible).
7	EGFR_FGFR4__GS_med	EGFR	FGFR4	GS_med	MAPK,AKT	0.900	+1.0000	0.900	+0.9625	TOP_K_DESIGN	REJUVENATING	Heuristic candidate from generate_candidates.py — class pair: (ErbB, FGFR); axis: myogenic; linker: GS_med (20 aa, flexible).
8	EGFR_MET__GS_med	EGFR	MET	GS_med	MAPK,AKT,STAT3	0.900	+1.0000	0.900	+0.9625	TOP_K_DESIGN	REJUVENATING	Heuristic candidate from generate_candidates.py — class pair: (ErbB, MET); axis: myogenic; linker: GS_med (20 aa, flexible).
9	FGFR1_IGF1R__GS_med	FGFR1	IGF1R	GS_med	MAPK,AKT,mTOR	0.900	+1.0000	0.900	+0.9625	TOP_K_DESIGN	REJUVENATING	Heuristic candidate from generate_candidates.py — class pair: (FGFR, INSR); axis: myogenic; linker: GS_med (20 aa, flexible).
10	FGFR1_INSR__GS_med	FGFR1	INSR	GS_med	MAPK,AKT,mTOR	0.900	+1.0000	0.900	+0.9625	TOP_K_DESIGN	REJUVENATING	Heuristic candidate from generate_candidates.py — class pair: (FGFR, INSR); axis: myogenic; linker: GS_med (20 aa, flexible).
11	FGFR1_MET__GS_med	FGFR1	MET	GS_med	MAPK,AKT,STAT3	0.900	+1.0000	0.900	+0.9625	TOP_K_DESIGN	REJUVENATING	Heuristic candidate from generate_candidates.py — class pair: (FGFR, MET); axis: myogenic; linker: GS_med (20 aa, flexible).
12	FGFR2_IGF1R__GS_med	FGFR2	IGF1R	GS_med	MAPK,AKT,mTOR	0.900	+1.0000	0.900	+0.9625	TOP_K_DESIGN	REJUVENATING	Heuristic candidate from generate_candidates.py — class pair: (FGFR, INSR); axis: myogenic; linker: GS_med (20 aa, flexible).
