# fibro_muscle target signal | mode=proxy | n_pairs=1711
pair_id	score
ACVRL1__BMPR1A	1.0000
ACVRL1__BMPR1B	0.5000
ACVR1__ACVRL1	0.5000
ACVRL1__BMPR2	1.0000
ACVR2A__ACVRL1	1.0000
ACVR2B__ACVRL1	1.0000
ACVRL1__TGFBR1	0.0000
ACVRL1__TGFBR2	0.0000
ACVRL1__TGFBR3	0.0000
ACVRL1__EGFR	0.5000
ACVRL1__ERBB2	1.0000
ACVRL1__ERBB3	0.5000
ACVRL1__ERBB4	0.5000
ACVRL1__FGFR1	1.0000
ACVRL1__FGFR2	1.0000
ACVRL1__FGFR3	0.5000
ACVRL1__FGFR4	1.0000
ACVRL1__IGF1R	1.0000
ACVRL1__IGF2R	0.5000
ACVRL1__INSR	1.0000
ACVRL1__NTRK1	0.5000
ACVRL1__NTRK2	0.5000
ACVRL1__NTRK3	0.5000
ACVRL1__PDGFRA	0.0000
ACVRL1__PDGFRB	0.0000
ACVRL1__MET	1.0000
ACVRL1__KIT	0.5000
ACVRL1__FLT1	0.5000
ACVRL1__KDR	0.5000
ACVRL1__RET	0.5000
ACVRL1__LEPR	0.5000
ACVRL1__GHR	1.0000
ACVRL1__AXL	0.5000
ACVRL1__MERTK	0.5000
ACVRL1__CSF1R	0.5000
ACVRL1__IL6ST	0.5000
ACVRL1__IL2RG	0.5000
ACVRL1__OSMR	0.5000
ACVRL1__LIFR	0.5000
ACVRL1__IL6R	0.5000
ACVRL1__IFNAR1	0.5000
ACVRL1__IFNAR2	0.5000
ACVRL1__TNFRSF1A	0.5000
ACVRL1__TNFRSF1B	0.5000
ACVRL1__DDR1	0.0000
ACVRL1__DDR2	0.0000
ACVRL1__ITGA7	1.0000
ACVRL1__ITGB1	0.5000
ACVRL1__ITGAV	0.0000
ACVRL1__PLAUR	0.0000
ACVRL1__CD44	0.5000
ACVRL1__NOTCH1	1.0000
ACVRL1__NOTCH2	1.0000
ACVRL1__ROBO1	0.5000
ACVRL1__ITGA1	0.5000
ACVRL1__ITGA6	0.5000
ACVRL1__CXCR4	0.5000
ACVRL1__CD36	1.0000
BMPR1A__BMPR1B	0.5000
ACVR1__BMPR1A	0.5000
BMPR1A__BMPR2	1.0000
ACVR2A__BMPR1A	1.0000
ACVR2B__BMPR1A	1.0000
BMPR1A__TGFBR1	0.0000
BMPR1A__TGFBR2	0.0000
BMPR1A__TGFBR3	0.0000
BMPR1A__EGFR	0.5000
BMPR1A__ERBB2	1.0000
BMPR1A__ERBB3	0.5000
BMPR1A__ERBB4	0.5000
BMPR1A__FGFR1	1.0000
BMPR1A__FGFR2	1.0000
BMPR1A__FGFR3	0.5000
BMPR1A__FGFR4	1.0000
BMPR1A__IGF1R	1.0000
BMPR1A__IGF2R	0.5000
BMPR1A__INSR	1.0000
BMPR1A__NTRK1	0.5000
BMPR1A__NTRK2	0.5000
BMPR1A__NTRK3	0.5000
BMPR1A__PDGFRA	0.0000
BMPR1A__PDGFRB	0.0000
BMPR1A__MET	1.0000
BMPR1A__KIT	0.5000
BMPR1A__FLT1	0.5000
BMPR1A__KDR	0.5000
BMPR1A__RET	0.5000
BMPR1A__LEPR	0.5000
BMPR1A__GHR	1.0000
AXL__BMPR1A	0.5000
BMPR1A__MERTK	0.5000
BMPR1A__CSF1R	0.5000
BMPR1A__IL6ST	0.5000
BMPR1A__IL2RG	0.5000
BMPR1A__OSMR	0.5000
BMPR1A__LIFR	0.5000
BMPR1A__IL6R	0.5000
BMPR1A__IFNAR1	0.5000
BMPR1A__IFNAR2	0.5000
BMPR1A__TNFRSF1A	0.5000
BMPR1A__TNFRSF1B	0.5000
BMPR1A__DDR1	0.0000
BMPR1A__DDR2	0.0000
BMPR1A__ITGA7	1.0000
BMPR1A__ITGB1	0.5000
BMPR1A__ITGAV	0.0000
BMPR1A__PLAUR	0.0000
BMPR1A__CD44	0.5000
BMPR1A__NOTCH1	1.0000
BMPR1A__NOTCH2	1.0000
BMPR1A__ROBO1	0.5000
BMPR1A__ITGA1	0.5000
BMPR1A__ITGA6	0.5000
BMPR1A__CXCR4	0.5000
BMPR1A__CD36	1.0000
ACVR1__BMPR1B	0.0000
BMPR1B__BMPR2	0.5000
ACVR2A__BMPR1B	0.5000
ACVR2B__BMPR1B	0.5000
BMPR1B__TGFBR1	-0.5000
BMPR1B__TGFBR2	-0.5000
BMPR1B__TGFBR3	-0.5000
BMPR1B__EGFR	0.0000
BMPR1B__ERBB2	0.5000
BMPR1B__ERBB3	0.0000
BMPR1B__ERBB4	0.0000
BMPR1B__FGFR1	0.5000
BMPR1B__FGFR2	0.5000
BMPR1B__FGFR3	0.0000
BMPR1B__FGFR4	0.5000
BMPR1B__IGF1R	0.5000
BMPR1B__IGF2R	0.0000
BMPR1B__INSR	0.5000
BMPR1B__NTRK1	0.0000
BMPR1B__NTRK2	0.0000
BMPR1B__NTRK3	0.0000
BMPR1B__PDGFRA	-0.5000
BMPR1B__PDGFRB	-0.5000
BMPR1B__MET	0.5000
BMPR1B__KIT	0.0000
BMPR1B__FLT1	0.0000
BMPR1B__KDR	0.0000
BMPR1B__RET	0.0000
BMPR1B__LEPR	0.0000
BMPR1B__GHR	0.5000
AXL__BMPR1B	0.0000
BMPR1B__MERTK	0.0000
BMPR1B__CSF1R	0.0000
BMPR1B__IL6ST	0.0000
BMPR1B__IL2RG	0.0000
BMPR1B__OSMR	0.0000
BMPR1B__LIFR	0.0000
BMPR1B__IL6R	0.0000
BMPR1B__IFNAR1	0.0000
BMPR1B__IFNAR2	0.0000
BMPR1B__TNFRSF1A	0.0000
BMPR1B__TNFRSF1B	0.0000
BMPR1B__DDR1	-0.5000
BMPR1B__DDR2	-0.5000
BMPR1B__ITGA7	0.5000
BMPR1B__ITGB1	0.0000
BMPR1B__ITGAV	-0.5000
BMPR1B__PLAUR	-0.5000
BMPR1B__CD44	0.0000
BMPR1B__NOTCH1	0.5000
BMPR1B__NOTCH2	0.5000
BMPR1B__ROBO1	0.0000
BMPR1B__ITGA1	0.0000
BMPR1B__ITGA6	0.0000
BMPR1B__CXCR4	0.0000
BMPR1B__CD36	0.5000
ACVR1__BMPR2	0.5000
ACVR1__ACVR2A	0.5000
ACVR1__ACVR2B	0.5000
ACVR1__TGFBR1	-0.5000
ACVR1__TGFBR2	-0.5000
ACVR1__TGFBR3	-0.5000
ACVR1__EGFR	0.0000
ACVR1__ERBB2	0.5000
ACVR1__ERBB3	0.0000
ACVR1__ERBB4	0.0000
ACVR1__FGFR1	0.5000
ACVR1__FGFR2	0.5000
ACVR1__FGFR3	0.0000
ACVR1__FGFR4	0.5000
ACVR1__IGF1R	0.5000
ACVR1__IGF2R	0.0000
ACVR1__INSR	0.5000
ACVR1__NTRK1	0.0000
ACVR1__NTRK2	0.0000
ACVR1__NTRK3	0.0000
ACVR1__PDGFRA	-0.5000
ACVR1__PDGFRB	-0.5000
ACVR1__MET	0.5000
ACVR1__KIT	0.0000
ACVR1__FLT1	0.0000
ACVR1__KDR	0.0000
ACVR1__RET	0.0000
ACVR1__LEPR	0.0000
ACVR1__GHR	0.5000
ACVR1__AXL	0.0000
ACVR1__MERTK	0.0000
ACVR1__CSF1R	0.0000
ACVR1__IL6ST	0.0000
ACVR1__IL2RG	0.0000
ACVR1__OSMR	0.0000
ACVR1__LIFR	0.0000
ACVR1__IL6R	0.0000
ACVR1__IFNAR1	0.0000
ACVR1__IFNAR2	0.0000
ACVR1__TNFRSF1A	0.0000
ACVR1__TNFRSF1B	0.0000
ACVR1__DDR1	-0.5000
ACVR1__DDR2	-0.5000
ACVR1__ITGA7	0.5000
ACVR1__ITGB1	0.0000
ACVR1__ITGAV	-0.5000
ACVR1__PLAUR	-0.5000
ACVR1__CD44	0.0000
ACVR1__NOTCH1	0.5000
ACVR1__NOTCH2	0.5000
ACVR1__ROBO1	0.0000
ACVR1__ITGA1	0.0000
ACVR1__ITGA6	0.0000
ACVR1__CXCR4	0.0000
ACVR1__CD36	0.5000
ACVR2A__BMPR2	1.0000
ACVR2B__BMPR2	1.0000
BMPR2__TGFBR1	0.0000
BMPR2__TGFBR2	0.0000
BMPR2__TGFBR3	0.0000
BMPR2__EGFR	0.5000
BMPR2__ERBB2	1.0000
BMPR2__ERBB3	0.5000
