gene,log2fc,pval,padj,direction,cell_type,score
NR4A2,2.1846793,1.181402223474218e-15,2.0311517028425046e-14,up,fibroblast,2.1846793
PAMR1,1.9441226,2.246460584384306e-06,1.285590308768467e-05,up,fibroblast,1.9441226
MRGPRF,1.9301183,1.7188657913453465e-18,3.88754181372163e-17,up,fibroblast,1.9301183
MRPS6,1.7347496,1.385773615699844e-38,9.349896101221888e-37,up,fibroblast,1.7347496
TRIM47,1.7288481,3.240197096718123e-12,4.149209328476844e-11,up,fibroblast,1.7288481
RGS16,1.6273926,2.090280061751917e-05,0.00010104069004097618,up,fibroblast,1.6273926
AKR1C3,1.537776,6.575429985972581e-14,9.961156105164876e-13,up,fibroblast,1.537776
HHIP,1.5209029,0.005445291422866214,0.014356126728712953,up,fibroblast,1.5209029
LOXL1,1.5167735,2.0638434532311135e-05,0.00010000361548577314,up,fibroblast,1.5167735
IL6,1.5056293,0.004252224163431716,0.01161262170346709,up,fibroblast,1.5056293
DDB2,1.4776595,0.0027254291442664466,0.007862907150310924,up,fibroblast,1.4776595
IFIT1,1.4521642,0.0002994811418775826,0.0011050248566797382,up,fibroblast,1.4521642
DKK3,1.4391959,4.457142962010434e-05,0.0002005964172756826,up,fibroblast,1.4391959
HHIP-AS1,1.4217081,7.938943577658132e-05,0.0003377942659513362,up,fibroblast,1.4217081
MFAP2,1.4083157,0.0007091843381902146,0.0024025489668055835,up,fibroblast,1.4083157
MIR23AHG,1.3852444,0.0012825156170694853,0.004075817416547329,up,fibroblast,1.3852444
NQO1,1.3679684,3.4173424665636403e-13,4.805226385996404e-12,up,fibroblast,1.3679684
PSMB10,1.2982526,0.0037102795058970156,0.01032218785614939,up,fibroblast,1.2982526
MITF,1.297567,3.3574012511534237e-07,2.2059390053609524e-06,up,fibroblast,1.297567
KCND2,1.2767377,0.0001689433872846603,0.000665577260308409,up,fibroblast,1.2767377
CSRNP1,1.2729628,4.348458174249293e-07,2.8058681812779257e-06,up,fibroblast,1.2729628
PTGES,1.264013,0.008061893332841127,0.020158499398748492,up,fibroblast,1.264013
GEM,1.2540208,2.8450939686646115e-06,1.6041614799443937e-05,up,fibroblast,1.2540208
ANKRD35,1.2525293,2.0450013516400945e-13,2.9320206879139856e-12,up,fibroblast,1.2525293
DUSP14,1.2288511,0.007588292514137033,0.019135176066584873,up,fibroblast,1.2288511
NT5E,1.2240199,5.021859542173503e-06,2.7097117112977863e-05,up,fibroblast,1.2240199
PLK3,1.2224257,0.0010986628136784046,0.003562667096536313,up,fibroblast,1.2224257
RARG,1.2202337,0.006410309711967658,0.0165121516449754,up,fibroblast,1.2202337
ENG,1.2199516,2.410955926625591e-15,4.092508485174814e-14,up,fibroblast,1.2199516
PTGFR,1.1892353,1.3819870259647968e-08,1.1084888942528825e-07,up,fibroblast,1.1892353
MYL9,1.1791358,2.4107973885387392e-23,7.620587493140762e-22,up,fibroblast,1.1791358
HSPB2,1.1625918,4.199351922961291e-14,6.483960882587732e-13,up,fibroblast,1.1625918
CCL2,1.1615633,1.2138163021680788e-17,2.5714330053054103e-16,up,fibroblast,1.1615633
SERTAD4-AS1,1.15645,0.020630611884731153,0.0447563314840601,up,fibroblast,1.15645
HAS1,1.1554255,0.009303143556229479,0.02270362906169194,up,fibroblast,1.1554255
ATF3,1.150291,1.9134456707194363e-17,3.9800661373591592e-16,up,fibroblast,1.150291
ANGPTL2,1.1457919,2.842853775473191e-15,4.7851725289883125e-14,up,fibroblast,1.1457919
ID2,1.1447895,1.680325471762479e-22,5.034079557007814e-21,up,fibroblast,1.1447895
SLC6A6,1.1219132,0.014626106772778476,0.0333237829962084,up,fibroblast,1.1219132
BHLHE40,1.1140378,8.027154064963684e-06,4.1959648429422796e-05,up,fibroblast,1.1140378
PLAU,1.1110216,2.4179814440098683e-13,3.442193796800573e-12,up,fibroblast,1.1110216
SOCS3,1.1092639,8.407016328534949e-38,5.44354307272638e-36,up,fibroblast,1.1092639
STING1,1.1004785,2.1495917421772172e-09,1.9305449773983086e-08,up,fibroblast,1.1004785
ID3,1.0965539,1.329571901220959e-47,1.3179176290003802e-45,up,fibroblast,1.0965539
AKR1C1,1.0848746,2.608755886823531e-44,2.204810633190119e-42,up,fibroblast,1.0848746
AKR1C2,1.0839616,1.1393075176700154e-22,3.451886814857567e-21,up,fibroblast,1.0839616
RNF24,1.0824914,2.6911010885610122e-05,0.00012717392960598215,up,fibroblast,1.0824914
TMEM106C,1.0578276,1.9315868545191747e-07,1.32553084230209e-06,up,fibroblast,1.0578276
IRF1,1.0555052,7.694401817933782e-09,6.435245020436493e-08,up,fibroblast,1.0555052
EFEMP1,1.0472933,1.2099849792952037e-135,1.3878527712515986e-132,up,fibroblast,1.0472933
TNFSF10,1.0413231,7.692047343442973e-35,4.318842525909345e-33,up,fibroblast,1.0413231
ACTA2,1.0326598,0.008387117970514175,0.02077892850095126,up,fibroblast,1.0326598
CSRP1,1.0159329,8.776551962831363e-11,9.37060315286875e-10,up,fibroblast,1.0159329
ARL6IP6,1.0075397,0.0216546365366758,0.04662299557021786,up,fibroblast,1.0075397
NR4A1,1.0060191,4.267108483792196e-37,2.6558615516563985e-35,up,fibroblast,1.0060191
PHGDH,1.0059161,1.9920685064593167e-05,9.675933477532882e-05,up,fibroblast,1.0059161
LEPR,1.0032091,1.1361910629788744e-12,1.530617121586809e-11,up,fibroblast,1.0032091
LINGO1,1.0011345,0.0030847873344549983,0.008772253232032585,up,fibroblast,1.0011345
ALDH1A1,0.9942291,1.413682269537216e-51,1.5986556256499025e-49,up,fibroblast,0.9942291
MYC,0.991747,7.418773307189479e-26,2.6831230127668614e-24,up,fibroblast,0.991747
OLFML1,0.97998786,0.0008905829055928006,0.0029379748367157846,up,fibroblast,0.97998786
ZFP36,0.972916,1.039597958167191e-120,7.588120005567615e-118,up,fibroblast,0.972916
ALDH16A1,0.96210575,0.007662486251921668,0.019279881578401464,up,fibroblast,0.96210575
PPL,0.95074415,4.940971653874262e-09,4.261123674431412e-08,up,fibroblast,0.95074415
MEOX2,0.9479724,3.6641150291230187e-10,3.5789756166458293e-09,up,fibroblast,0.9479724
CD9,0.94301474,3.8205932378523864e-22,1.1154742947897021e-20,up,fibroblast,0.94301474
C1orf198,0.9408004,0.020329930292564056,0.04423550415148965,up,fibroblast,0.9408004
ADM,0.93142056,2.8309459845803774e-18,6.331383094762075e-17,up,fibroblast,0.93142056
CLEC14A,0.9237216,8.445146522105462e-11,9.040810856797968e-10,up,fibroblast,0.9237216
ISLR,0.92223877,1.6830085361012045e-25,5.952808606324481e-24,up,fibroblast,0.92223877
IER2,0.91875964,6.848331873278062e-23,2.090694167701504e-21,up,fibroblast,0.91875964
CRYAB,0.9165874,1.0856932713396261e-34,6.011745707300592e-33,up,fibroblast,0.9165874
LMNA,0.9131592,1.7264524495428488e-61,2.665708984111449e-59,up,fibroblast,0.9131592
INHBA,0.9095628,0.00022499606346939045,0.0008569703005672373,up,fibroblast,0.9095628
C1QTNF2,0.90507627,0.007619327248354992,0.019200170159094972,up,fibroblast,0.90507627
FAM43A,0.89972925,0.023196721622083184,0.04923248160288286,up,fibroblast,0.89972925
CMTM8,0.8972331,0.00032494793344308624,0.0011913273779061825,up,fibroblast,0.8972331
