gene,log2fc,pval,padj,direction,cell_type
FKBP5,2.5949562,1.1721219703680672e-73,2.353565101167157e-70,up,excitatory_neuron
RHBDL3,2.2677407,1.652982126768974e-72,3.030491188672492e-69,up,excitatory_neuron
SEMA3A,1.4475446,8.716847084281562e-70,1.5315137125120858e-66,up,excitatory_neuron
SNTG2,1.8168552,7.134922904750866e-67,1.1142899782393693e-63,up,excitatory_neuron
CLU,1.3771046,6.73056137955374e-63,9.155083280375567e-60,up,excitatory_neuron
GPC5,1.1169903,1.1396786848039659e-62,1.501775971941526e-59,up,excitatory_neuron
WIPF3,1.332761,1.287294830910644e-57,1.1800295898915027e-54,up,excitatory_neuron
AVPI1,2.079691,1.78592721450407e-56,1.5688998511248566e-53,up,excitatory_neuron
TSIX,1.0470483,9.538446615339228e-52,6.703461307150154e-49,up,excitatory_neuron
SPOCK3,1.2819076,1.317770546172444e-47,7.717559808396312e-45,up,excitatory_neuron
KDELR3,0.9987699,4.023787753685944e-45,2.1752699770471177e-42,up,excitatory_neuron
YJU2,2.1014917,2.2634764685193167e-44,1.1639513688787077e-41,up,excitatory_neuron
LINC02253,1.4109211,1.6428016515499238e-42,7.529567091402786e-40,up,excitatory_neuron
MT-TS1,0.7947598,2.147276171214332e-41,8.876881795254386e-39,up,excitatory_neuron
MPHOSPH8,0.93740237,2.7416258941389606e-41,1.1010108483634055e-38,up,excitatory_neuron
PNISR,0.6343472,4.1622310687813416e-41,1.655743372427385e-38,up,excitatory_neuron
MTND2P28,1.6414938,9.031040361213153e-40,3.2548023838570506e-37,up,excitatory_neuron
KIAA0930,0.9452845,1.6954974666011455e-38,5.765648522110524e-36,up,excitatory_neuron
ADD3,0.82939744,1.962229100898965e-38,6.619305159808533e-36,up,excitatory_neuron
WWOX,0.65358317,3.326463349237437e-38,1.1132300003753576e-35,up,excitatory_neuron
CCND3,1.2024459,3.434748958277536e-38,1.1404177899503058e-35,up,excitatory_neuron
FHIT,0.65761024,6.25314683955244e-37,1.8834031627386262e-34,up,excitatory_neuron
PCDH15,1.1768254,1.705835566291434e-36,4.9951366891535354e-34,up,excitatory_neuron
LMCD1-AS1,0.98964864,2.290846200974904e-36,6.6619387418281925e-34,up,excitatory_neuron
SYNPR,0.9457087,6.670842998008657e-36,1.9135335829730002e-33,up,excitatory_neuron
RUNX1,1.1672118,6.576131971731085e-35,1.7775369028973374e-32,up,excitatory_neuron
COL21A1,1.5807151,9.169045296508415e-35,2.4626186816424862e-32,up,excitatory_neuron
SCAPER,0.5412357,6.184874206669801e-34,1.5523666111466995e-31,up,excitatory_neuron
TEX9,0.8427222,1.7547585677384214e-33,4.277046504383007e-31,up,excitatory_neuron
ADAM7-AS1,0.79337186,2.632243527344196e-33,6.270836882345916e-31,up,excitatory_neuron
MT-RNR1,0.67931336,2.701638457408405e-33,6.399999372670798e-31,up,excitatory_neuron
PKD1L1,1.1898592,8.153315737948306e-33,1.910004804011479e-30,up,excitatory_neuron
SORT1,0.7007441,1.5701024891406006e-32,3.5594898741715975e-30,up,excitatory_neuron
MT-ND3,1.1034422,2.6667141907039594e-32,5.826286905669112e-30,up,excitatory_neuron
EPB41,0.71685964,1.0723328931310395e-31,2.2836899547806336e-29,up,excitatory_neuron
MT-ND6,0.7606212,1.636826046331099e-31,3.4168338562199725e-29,up,excitatory_neuron
CCDC54-AS1,0.8107041,2.6813397003629853e-31,5.462031456290146e-29,up,excitatory_neuron
IL12A-AS1,1.0064104,2.958899929403529e-31,5.998458332844163e-29,up,excitatory_neuron
DGKG,0.8409008,5.541080349824197e-31,1.1021261090143252e-28,up,excitatory_neuron
MEF2C-AS1,0.57733285,9.109836126566876e-31,1.803448168774392e-28,up,excitatory_neuron
SHOC1,0.81882226,4.473182932462704e-30,8.420567174694413e-28,up,excitatory_neuron
FAM66A,1.6343898,2.748747852379053e-29,4.9532671235584414e-27,up,excitatory_neuron
MT-RNR2,0.5898826,3.3231272882867666e-29,5.912502462666165e-27,up,excitatory_neuron
POT1-AS1,0.8438462,6.953926761265603e-29,1.1871507277015658e-26,up,excitatory_neuron
LINC01470,1.1716609,7.083538079442757e-29,1.204401412080092e-26,up,excitatory_neuron
CFAP298-TCP10L,0.63406765,9.792208498799283e-29,1.6516322230754778e-26,up,excitatory_neuron
GPI,0.7942608,2.0394684414300343e-28,3.3724810105796176e-26,up,excitatory_neuron
LENG9,0.6735297,4.0266697516015395e-28,6.555698201381549e-26,up,excitatory_neuron
MTCO1P12,0.6683445,4.2289353565932765e-28,6.832242037604165e-26,up,excitatory_neuron
NISCH,1.1170923,7.55395775488806e-28,1.2019914590579804e-25,up,excitatory_neuron
DNAH14,0.7167363,8.337647751070655e-28,1.3217052357872039e-25,up,excitatory_neuron
RPS6KA5,0.6281424,1.066594914248182e-27,1.6657447314482624e-25,up,excitatory_neuron
ZFHX3,0.9001883,1.355389709499654e-27,2.101202863252644e-25,up,excitatory_neuron
MCTP1,0.58029026,1.5183752110487329e-27,2.345250092464906e-25,up,excitatory_neuron
INPP4B,0.62548375,2.4193476562743285e-27,3.682910924986268e-25,up,excitatory_neuron
ZBTB20,0.7233107,4.085444524817562e-27,6.130638408469114e-25,up,excitatory_neuron
LHFPL6,0.6537483,4.501113512902184e-27,6.730441613423631e-25,up,excitatory_neuron
XIST,0.79067117,2.6111095943150645e-26,3.7706389816261424e-24,up,excitatory_neuron
LINC00499,1.2664466,3.8715549529271503e-26,5.5717357576818835e-24,up,excitatory_neuron
SRRM2,0.6709163,4.212477088422676e-26,6.00092977660537e-24,up,excitatory_neuron
PTPRM,0.7595672,8.323625223501335e-26,1.1395529376603273e-23,up,excitatory_neuron
ZBTB16,0.53235143,1.2423077017295947e-25,1.6898189954461877e-23,up,excitatory_neuron
PALLD,0.8423402,1.4789558699520073e-25,1.979781973595756e-23,up,excitatory_neuron
ROS1,1.6195962,1.6482113854715584e-25,2.178687444864552e-23,up,excitatory_neuron
SNRPN,0.4736972,2.218433120136265e-25,2.8871811536045033e-23,up,excitatory_neuron
LENG8,0.607423,3.897998273356895e-25,4.965767165940792e-23,up,excitatory_neuron
NEK7,0.8885836,4.146496254223703e-25,5.25060983639192e-23,up,excitatory_neuron
OPRM1,0.6014195,1.015844372774974e-24,1.2524885867486062e-22,up,excitatory_neuron
TTC28,0.52720237,1.3689444222375618e-24,1.6731675203620656e-22,up,excitatory_neuron
CNBD1,1.1822603,1.4490244503721004e-24,1.7659252600820912e-22,up,excitatory_neuron
BBS9,0.49925378,1.5906809972924556e-24,1.9274208509434192e-22,up,excitatory_neuron
MT-CO1,0.42801803,1.6883591975108767e-24,2.0399152516172252e-22,up,excitatory_neuron
LINC02955,0.8768612,2.3797188591500103e-24,2.834621613948545e-22,up,excitatory_neuron
LINC00871,1.264781,3.355662655961435e-24,3.963535776300444e-22,up,excitatory_neuron
LEPR,0.784781,6.955381624224786e-24,8.101866766538303e-22,up,excitatory_neuron
ARL17B,0.7171572,8.363970573759024e-24,9.689108439112549e-22,up,excitatory_neuron
PLXDC2,0.5735376,1.0655038022916824e-23,1.224226126191645e-21,up,excitatory_neuron
NPSR1-AS1,0.9859961,1.333515328508585e-23,1.5279983928592794e-21,up,excitatory_neuron
PHACTR1,-0.83114314,1.5223517410740143e-123,6.419300586586796e-119,down,excitatory_neuron
PDE10A,-1.0861937,5.340453921196594e-119,1.125954602475484e-114,down,excitatory_neuron
PCDH9,-0.7090016,1.289350568322052e-117,1.8122681804811988e-113,down,excitatory_neuron
NRXN3,-0.7300936,3.0244777900428067e-114,3.1883288743183763e-110,down,excitatory_neuron
LDB2,-0.75193846,2.8227785132602253e-103,2.3805620313728784e-99,down,excitatory_neuron
HOMER1,-1.0866892,6.68982734794188e-103,4.701499163011088e-99,down,excitatory_neuron
PLCB1,-0.66887146,7.13003654865838e-101,4.2950321592468273e-97,down,excitatory_neuron
CALM2,-0.9550301,4.3138165112508686e-98,2.2737587603739424e-94,down,excitatory_neuron
CELF2,-0.5705024,9.350512585589465e-96,4.380922935517232e-92,down,excitatory_neuron
PPFIA2,-0.7255811,2.2296984303411298e-95,9.401969371219444e-92,down,excitatory_neuron
PTPRD,-0.5836974,1.32636006829963e-90,4.660718749999208e-87,down,excitatory_neuron
CCSER1,-0.5358187,1.0403688966342452e-88,3.374556558798171e-85,down,excitatory_neuron
CAMK4,-0.91643584,4.796068893925367e-85,1.4445416932153638e-81,down,excitatory_neuron
