gene,log2fc,pval,padj,direction,cell_type
CHCHD2,0.1672009,0.0005637720005737014,0.43612738703204396,up,CD4
HAX1,0.19852751,0.0005349191820216373,0.43612738703204396,up,CD4
NDUFA4,0.17718859,0.00012770310665384627,0.43612738703204396,up,CD4
SEL1L3,0.7769846,0.0001516448138379783,0.43612738703204396,up,CD4
GPR155,0.4965499,4.961353348623108e-05,0.43612738703204396,up,CD4
RCBTB2,0.5847487,0.00043271891057744516,0.43612738703204396,up,CD4
TIAM1,0.45881483,0.0002513294098190619,0.43612738703204396,up,CD4
EPB41L4A,3.2391932,0.0002806045050011288,0.43612738703204396,up,CD4
ALKBH6,1.2764885,0.0004564042223034656,0.43612738703204396,up,CD4
RILPL2,0.4894732,0.00038875119445190847,0.43612738703204396,up,CD4
MRPS16,0.4120398,0.0005074470975086101,0.43612738703204396,up,CD4
UBAP1,0.58792365,0.0005074470975086101,0.43612738703204396,up,CD4
NME3,0.31105915,0.00043271891057744516,0.43612738703204396,up,CD4
DYNLRB1,0.23574509,0.0005637720005737014,0.43612738703204396,up,CD4
EZH2,0.955814,0.0006258756872980468,0.4563127096583539,up,CD4
PSMB9,0.27205503,0.0006592610055135521,0.4563127096583539,up,CD4
NACA2,2.7162392,0.0008100567615349623,0.4842298395884677,up,CD4
MAP3K12,0.7215404,0.0008524625937134507,0.4874232856489387,up,CD4
S100A11,0.33596492,0.000943517041180252,0.49632770434245976,up,CD4
PRMT5,1.1699108,0.0014053385866651543,0.49766502502083565,up,CD4
LHFPL4,2.3508759,0.0012120098282870026,0.49766502502083565,up,CD4
RPS27L,0.21024157,0.0014053385866651543,0.49766502502083565,up,CD4
ZER1,0.8422702,0.0011532358116456277,0.49766502502083565,up,CD4
CIB1,0.21719126,0.0012735400326867577,0.49766502502083565,up,CD4
NEFL,1.43203,0.0014758524808617284,0.49766502502083565,up,CD4
TSPO,0.22016746,0.0014758524808617284,0.49766502502083565,up,CD4
NETO2,2.041744,0.0014053385866651543,0.49766502502083565,up,CD4
MKI67,2.1031458,0.0012735400326867577,0.49766502502083565,up,CD4
GREM2,2.2944577,0.0011532358116456277,0.49766502502083565,up,CD4
BAX,0.31029204,0.0011532358116456277,0.49766502502083565,up,CD4
AMT,2.1867437,0.0010435115437678532,0.49766502502083565,up,CD4
ATP6V0E1,0.13908295,0.0016267569414592832,0.5217922082227081,up,CD4
C1orf162,0.2952157,0.0016267569414592832,0.5217922082227081,up,CD4
NAALADL1,0.67551476,0.0031490924906232803,0.5378404590154124,up,CD4
MT1F,0.45031396,0.002617253658322416,0.5378404590154124,up,CD4
FOXD2,2.0377507,0.0026789158733086056,0.5378404590154124,up,CD4
PSMA7,0.17082286,0.003007612322757296,0.5378404590154124,up,CD4
GFOD2,0.8817213,0.003007612322757296,0.5378404590154124,up,CD4
AQP11,2.1779532,0.002741903048517757,0.5378404590154124,up,CD4
KHNYN,0.7581366,0.002741903048517757,0.5378404590154124,up,CD4
NRTN,2.3671029,0.0019719965169983688,0.5378404590154124,up,CD4
GPX4,0.14156215,0.0019719965169983688,0.5378404590154124,up,CD4
ZNF773,1.4434677,0.002019587476971956,0.5378404590154124,up,CD4
LILRB3,1.9710768,0.0020682303017952194,0.5378404590154124,up,CD4
ITIH4,3.0984247,0.0020682303017952194,0.5378404590154124,up,CD4
TMEM160,0.23973224,0.0020682303017952194,0.5378404590154124,up,CD4
TRMO,0.6127241,0.0021687549176459204,0.5378404590154124,up,CD4
ATP5IF1,0.19875406,0.0021687549176459204,0.5378404590154124,up,CD4
